tracker,before-nov-2016,march-2017,change
AWeber,0,4,4
Acuity Ads,3,1,-2
Acxiom,2,8,6
AdGear,2,2,0
AdMarvel,1,0,-1
AdRoll,1,1,0
AdScale,5,3,-2
Adap.tv,1,0,-1
Adblade,2,3,1
AddThis,14,11,-3
Adform,7,7,0
Adloox,0,1,1
Admedo,0,1,1
Admeta,4,3,-1
Admixer,1,1,0
Adobe Audience Manager,14,8,-6
Advertise.com,1,1,0
Advertising.com,8,6,-2
Aggregate Knowledge,17,10,-7
Amazon Associates,2,3,1
AppNexus,14,10,-4
Audience Science,2,1,-1
BidSwitch,13,10,-3
BlueCava,2,1,-1
BlueKai,23,17,-6
BrightRoll,13,10,-3
Chameleon,0,2,2
Chango,2,3,1
ChartBeat,1,0,-1
Clearstream.TV,0,1,1
Connexity,1,1,0
Content.ad,2,7,5
Conversant,1,1,0
Convertro,1,0,-1
Crimtan,1,0,-1
Criteo,4,4,0
DataXu,4,2,-2
Datalogix,4,2,-2
Delta Projects,0,1,1
Digilant,2,1,-1
Dotomi,2,1,-1
DoubleClick,49,45,-4
DoubleClick Ad Exchange-Buyer,0,1,1
DoubleClick Ad Exchange-Seller,46,37,-9
DoubleClick Spotlight,0,1,1
Drawbridge,5,2,-3
Dstillery,3,2,-1
EQ Advertising,1,1,0
Earnify,0,2,2
Eyeota,5,1,-4
Eyeview,1,0,-1
Facebook Custom Audience,2,0,-2
GetIntent,0,1,1
Google AdWords Conversion,0,1,1
Google Adsense,49,39,-10
Google Dynamic Remarketing,0,1,1
Google Publisher Tags,3,2,-1
Google Syndication,46,31,-15
Improve Digital,4,2,-2
Index Exchange (Formerly Casale Media),12,10,-2
Infectious Media,3,3,0
InfoLinks,2,2,0
Innovid,1,0,-1
Intent IQ,1,2,1
Internet BillBoard,1,0,-1
Kixer,14,18,4
Krux Digital,13,8,-5
Lanista Concepts,2,1,-1
LiveRamp,15,15,0
Lotame,14,15,1
Magnetic,1,2,1
MarketGid,3,4,1
Media Innovation Group,10,7,-3
Media.net,2,1,-1
MediaMath,11,13,2
Nativo,1,1,0
NetSeer,1,1,0
Netmining,1,0,-1
Newsmax,1,0,-1
Nexage,7,5,-2
OpenX,11,7,-4
OwnerIQ,9,6,-3
Pixalate,0,1,1
PowerLinks,2,1,-1
Propeller Ads,1,0,-1
PubMatic,13,11,-2
PulsePoint,13,10,-3
Q1Media,2,2,0
Quantcast,18,19,1
RevContent,22,18,-4
Rocket Fuel,2,3,1
Rubicon,13,9,-4
SMART AdServer,6,4,-2
ScoreCard Research Beacon,33,35,2
SecuredVisit,2,1,-1
Sekindo,2,1,-1
Semasio,4,2,-2
ShareThis,10,9,-1
ShareThrough,1,1,0
Simpli.fi,2,2,0
SiteScout,5,3,-2
SkimLinks,0,1,1
Smaato,4,3,-1
SmartClip,3,2,-1
Sonobi,6,3,-3
SpotXchange,3,4,1
Spoutable,2,5,3
StickyAds,12,7,-5
Switch Concepts,5,4,-1
Taboola,14,15,1
Tapad,12,7,-5
Teads,3,5,2
TradeDesk,15,10,-5
Tremor Media,1,1,0
Tribal Fusion,1,2,1
TripleLift,2,1,-1
TubeMogul,6,6,0
Turn Inc.,12,8,-4
Twitter Advertising,2,2,0
Tynt,4,1,-3
Undertone,1,0,-1
Unruly Media,1,1,0
VIVALU,0,1,1
Veruta,1,1,0
Videology,6,3,-3
VigLink,4,4,0
Visible Measures,1,0,-1
Yahoo Ad Exchange,13,8,-5
Yahoo Ad Manager Plus,3,4,1
Yashi,1,1,0
Yieldlab,0,2,2
YllixMedia,0,1,1
[x+1],1,0,-1
adingo,4,2,-2
adsnative,2,1,-1
eXelate,18,20,2
eyeReturn Marketing,2,0,-2
gumgum,3,1,-2
i-Behavior,4,2,-2
myThings,1,0,-1
sovrn (formerly Lijit Networks),5,4,-1
