domain,AWeber,Acuity Ads,Acxiom,AdGear,AdMarvel,AdRoll,AdScale,Adap.tv,Adblade,AddThis,Adform,Adloox,Admedo,Admeta,Admixer,Adobe Audience Manager,Advertise.com,Advertising.com,Aggregate Knowledge,Amazon Associates,AppNexus,Audience Science,BidSwitch,BlueCava,BlueKai,BrightRoll,Chameleon,Chango,ChartBeat,Clearstream.TV,Connexity,Content.ad,Conversant,Convertro,Crimtan,Criteo,DataXu,Datalogix,Delta Projects,Digilant,Dotomi,DoubleClick,DoubleClick Ad Exchange-Buyer,DoubleClick Ad Exchange-Seller,DoubleClick Spotlight,Drawbridge,Dstillery,EQ Advertising,Earnify,Eyeota,Eyeview,Facebook Custom Audience,GetIntent,Google AdWords Conversion,Google Adsense,Google Dynamic Remarketing,Google Publisher Tags,Google Syndication,Improve Digital,Index Exchange (Formerly Casale Media),Infectious Media,InfoLinks,Innovid,Intent IQ,Internet BillBoard,Kixer,Krux Digital,Lanista Concepts,LiveRamp,Lotame,Magnetic,MarketGid,Media Innovation Group,Media.net,MediaMath,Nativo,NetSeer,Netmining,Newsmax,Nexage,OpenX,OwnerIQ,Pixalate,PowerLinks,Propeller Ads,PubMatic,PulsePoint,Q1Media,Quantcast,RevContent,Rocket Fuel,Rubicon,SMART AdServer,ScoreCard Research Beacon,SecuredVisit,Sekindo,Semasio,ShareThis,ShareThrough,Simpli.fi,SiteScout,SkimLinks,Smaato,SmartClip,Sonobi,SpotXchange,Spoutable,StickyAds,Switch Concepts,Taboola,Tapad,Teads,TradeDesk,Tremor Media,Tribal Fusion,TripleLift,TubeMogul,Turn Inc.,Twitter Advertising,Tynt,Undertone,Unruly Media,VIVALU,Veruta,Videology,VigLink,Visible Measures,Yahoo Ad Exchange,Yahoo Ad Manager Plus,Yashi,Yieldlab,YllixMedia,[x+1],adingo,adsnative,eXelate,eyeReturn Marketing,gumgum,i-Behavior,myThings,sovrn (formerly Lijit Networks)
adobochronicles.com,Never,Removed,Never,Removed,Never,Removed,Removed,Never,Never,Removed,Kept,Added,Never,Kept,Never,Removed,Never,Kept,Removed,Kept,Removed,Removed,Kept,Removed,Removed,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Removed,Kept,Removed,Removed,Added,Removed,Removed,Kept,Never,Never,Added,Removed,Removed,Never,Never,Removed,Never,Never,Never,Never,Kept,Never,Never,Kept,Removed,Removed,Kept,Never,Never,Removed,Removed,Never,Kept,Never,Removed,Removed,Never,Never,Removed,Never,Kept,Never,Never,Removed,Never,Never,Removed,Removed,Never,Removed,Never,Kept,Removed,Never,Removed,Never,Kept,Removed,Removed,Kept,Removed,Never,Removed,Never,Never,Removed,Removed,Never,Removed,Removed,Removed,Removed,Never,Removed,Removed,Never,Removed,Kept,Kept,Never,Removed,Never,Kept,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Removed,Kept,Never,Never,Never,Never,Removed,Never,Kept,Removed,Removed,Removed,Removed,Removed
alertchild.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
areyousleep.com,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
badcriminals.com,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
bizstandardnews.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Kept,Never,Never,Removed,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never
burrardstreetjournal.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Added,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
butthatsnoneofmybusiness.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Added,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never
cartelpress.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
celebtricity.com,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Kept,Never,Added,Added,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
channel5000.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
